person,date,project,category,hours,billable hours,task,details
"Walker, Eric","2015-07-03","CAMPO NEAS","Custom Services - Consulting and Training","8","8","F","A good day's work"
"Walker, Eric","2015-07-04","General and Administrative","General and Administrative","16","0","","Just general stuff was done"
"Walker, Eric","2015-07-05","Bannock","Custom Services - Consulting and Training","5","5","a","A description"
"Walker, Eric","2015-07-05","Bannock","Custom Services - Consulting and Training","5","5","a","A description"
"Walker, Eric","2015-07-05","Bannock","Custom Services - Consulting and Training","5","5","a","A description"
"Walker, Eric","2015-07-06","Boston College ITEST","Custom Services - Consulting and Training","5","0","b","A description"
"Walker, Eric","2015-07-06","Boston College ITEST","Custom Services - Consulting and Training","5","0","b","A description"
"Walker, Eric","2015-07-06","Boston College ITEST","Custom Services - Consulting and Training","5","0","b","A description"
"Walker, Eric","2015-07-07","CAMPO NEAS","Custom Services - Consulting and Training","5","0","c","A description"
"Walker, Eric","2015-07-07","CAMPO NEAS","Custom Services - Consulting and Training","5","0","c","A description"
"Walker, Eric","2015-07-07","CAMPO NEAS","Custom Services - Consulting and Training","5","0","c","A description"
"Walker, Eric","2015-07-08","Bannock","Custom Services - Consulting and Training","5","5","d","A description"
"Walker, Eric","2015-07-08","Bannock","Custom Services - Consulting and Training","5","5","d","A description"
"Walker, Eric","2015-07-08","Bannock","Custom Services - Consulting and Training","5","5","d","A description"
"Walker, Eric","2015-07-09","Boston College ITEST","Custom Services - Consulting and Training","5","5","e","A description"
"Walker, Eric","2015-07-09","Boston College ITEST","Custom Services - Consulting and Training","5","5","e","A description"
"Walker, Eric","2015-07-09","Boston College ITEST","Custom Services - Consulting and Training","5","5","e","A description"
"Walker, Eric","2015-07-10","CAMPO NEAS","Custom Services - Consulting and Training","5","0","f","A description"
"Walker, Eric","2015-07-10","CAMPO NEAS","Custom Services - Consulting and Training","5","5","f","A description"
